"Interval","Taxon","NISP"
175,"Robust_Myotis_NISP",0
180,"Robust_Myotis_NISP",0
185,"Robust_Myotis_NISP",0
190,"Robust_Myotis_NISP",0
195,"Robust_Myotis_NISP",0
200,"Robust_Myotis_NISP",0
205,"Robust_Myotis_NISP",0
210,"Robust_Myotis_NISP",0
215,"Robust_Myotis_NISP",0
220,"Robust_Myotis_NISP",0
225,"Robust_Myotis_NISP",0
230,"Robust_Myotis_NISP",0
235,"Robust_Myotis_NISP",1
240,"Robust_Myotis_NISP",0
245,"Robust_Myotis_NISP",1
250,"Robust_Myotis_NISP",0
255,"Robust_Myotis_NISP",0
260,"Robust_Myotis_NISP",0
265,"Robust_Myotis_NISP",0
270,"Robust_Myotis_NISP",0
275,"Robust_Myotis_NISP",0
280,"Robust_Myotis_NISP",0
285,"Robust_Myotis_NISP",0
290,"Robust_Myotis_NISP",0
295,"Robust_Myotis_NISP",0
300,"Robust_Myotis_NISP",0
305,"Robust_Myotis_NISP",0
310,"Robust_Myotis_NISP",0
315,"Robust_Myotis_NISP",0
320,"Robust_Myotis_NISP",0
325,"Robust_Myotis_NISP",0
330,"Robust_Myotis_NISP",0
335,"Robust_Myotis_NISP",0
340,"Robust_Myotis_NISP",0
345,"Robust_Myotis_NISP",0
350,"Robust_Myotis_NISP",0
0,"Myotis_pinetorum_NISP",0
5,"Myotis_pinetorum_NISP",0
10,"Myotis_pinetorum_NISP",1
15,"Myotis_pinetorum_NISP",1
20,"Myotis_pinetorum_NISP",1
25,"Myotis_pinetorum_NISP",0
30,"Myotis_pinetorum_NISP",0
35,"Myotis_pinetorum_NISP",0
40,"Myotis_pinetorum_NISP",0
45,"Myotis_pinetorum_NISP",0
50,"Myotis_pinetorum_NISP",0
55,"Myotis_pinetorum_NISP",0
60,"Myotis_pinetorum_NISP",0
65,"Myotis_pinetorum_NISP",0
70,"Myotis_pinetorum_NISP",0
75,"Myotis_pinetorum_NISP",0
80,"Myotis_pinetorum_NISP",0
85,"Myotis_pinetorum_NISP",0
90,"Myotis_pinetorum_NISP",2
95,"Myotis_pinetorum_NISP",0
100,"Myotis_pinetorum_NISP",0
105,"Myotis_pinetorum_NISP",0
110,"Myotis_pinetorum_NISP",1
115,"Myotis_pinetorum_NISP",0
120,"Myotis_pinetorum_NISP",2
125,"Myotis_pinetorum_NISP",0
130,"Myotis_pinetorum_NISP",2
135,"Myotis_pinetorum_NISP",0
140,"Myotis_pinetorum_NISP",1
145,"Myotis_pinetorum_NISP",1
150,"Myotis_pinetorum_NISP",1
155,"Myotis_pinetorum_NISP",5
160,"Myotis_pinetorum_NISP",1
165,"Myotis_pinetorum_NISP",4
170,"Myotis_pinetorum_NISP",1
175,"Myotis_pinetorum_NISP",1
180,"Myotis_pinetorum_NISP",5
185,"Myotis_pinetorum_NISP",4
190,"Myotis_pinetorum_NISP",2
195,"Myotis_pinetorum_NISP",5
200,"Myotis_pinetorum_NISP",4
205,"Myotis_pinetorum_NISP",6
210,"Myotis_pinetorum_NISP",10
215,"Myotis_pinetorum_NISP",2
220,"Myotis_pinetorum_NISP",2
225,"Myotis_pinetorum_NISP",3
230,"Myotis_pinetorum_NISP",3
235,"Myotis_pinetorum_NISP",2
240,"Myotis_pinetorum_NISP",1
245,"Myotis_pinetorum_NISP",1
250,"Myotis_pinetorum_NISP",1
255,"Myotis_pinetorum_NISP",0
260,"Myotis_pinetorum_NISP",0
265,"Myotis_pinetorum_NISP",0
270,"Myotis_pinetorum_NISP",0
275,"Myotis_pinetorum_NISP",0
280,"Myotis_pinetorum_NISP",1
285,"Myotis_pinetorum_NISP",0
290,"Myotis_pinetorum_NISP",0
295,"Myotis_pinetorum_NISP",0
300,"Myotis_pinetorum_NISP",0
305,"Myotis_pinetorum_NISP",0
310,"Myotis_pinetorum_NISP",0
315,"Myotis_pinetorum_NISP",0
320,"Myotis_pinetorum_NISP",0
325,"Myotis_pinetorum_NISP",0
330,"Myotis_pinetorum_NISP",0
335,"Myotis_pinetorum_NISP",0
340,"Myotis_pinetorum_NISP",0
345,"Myotis_pinetorum_NISP",0
350,"Myotis_pinetorum_NISP",0
